word;AP cohasem_corpus1-cohasem_corpus2;AP All;AP Avg;K5 cohasem_corpus1-cohasem_corpus2;K5 All;K5 Avg;K7 cohasem_corpus1-cohasem_corpus2;K7 All;K7 Avg;FREQ cohasem_corpus1;FREQ cohasem_corpus2;FREQ All;FREQ Avg;MEANING GAIN/LOSS cohasem_corpus1-cohasem_corpus2;MEANING GAIN/LOSS All
attack;0.06652000000000001;0.06652000000000001;0.06652000000000001;0.043998;0.043998;0.043998;0.047496;0.047496;0.047496;445;731;1176;588.0;True/True;True/True
bag;0.060627999999999994;0.060627999999999994;0.060627999999999994;0.035954;0.035954;0.035954;0.039352;0.039352;0.039352;163;652;815;407.5;False/False;False/False
ball;0.056657000000000006;0.056657000000000006;0.056657000000000006;0.04363;0.04363;0.04363;0.045346;0.045346;0.045346;328;727;1055;527.5;True/True;True/True
bit;0.085662;0.085662;0.085662;0.073896;0.073896;0.073896;0.074306;0.074306;0.074306;297;1008;1305;652.5;True/True;True/True
chairman;0.10749600000000001;0.10749600000000001;0.10749600000000001;0.09022100000000001;0.09022100000000001;0.09022100000000001;0.09752999999999999;0.09752999999999999;0.09752999999999999;149;661;810;405.0;False/True;False/True
circle;0.050074;0.050074;0.050074;0.0393;0.0393;0.0393;0.049280000000000004;0.049280000000000004;0.049280000000000004;406;413;819;409.5;False/False;False/False
contemplation;0.062561;0.062561;0.062561;0.048383999999999996;0.048383999999999996;0.048383999999999996;0.05309199999999999;0.05309199999999999;0.05309199999999999;218;105;323;161.5;True/True;True/True
donkey;0.046656;0.046656;0.046656;0.028406;0.028406;0.028406;0.031592;0.031592;0.031592;82;114;196;98.0;True/True;True/True
edge;0.053608;0.053608;0.053608;0.041776;0.041776;0.041776;0.044349;0.044349;0.044349;340;880;1220;610.0;False/True;False/True
face;0.07663500000000001;0.07663500000000001;0.07663500000000001;0.050696;0.050696;0.050696;0.054986;0.054986;0.054986;3097;3925;7022;3511.0;True/True;True/True
fiction;0.057155;0.057155;0.057155;0.042157;0.042157;0.042157;0.044969999999999996;0.044969999999999996;0.044969999999999996;165;314;479;239.5;True/True;True/True
gas;0.056419000000000004;0.056419000000000004;0.056419000000000004;0.03778;0.03778;0.03778;0.043522000000000005;0.043522000000000005;0.043522000000000005;127;653;780;390.0;False/False;False/False
graft;0.087344;0.087344;0.087344;0.08643200000000001;0.08643200000000001;0.08643200000000001;0.084619;0.084619;0.084619;89;86;175;87.5;True/True;True/True
head;0.062440999999999997;0.062440999999999997;0.062440999999999997;0.045711;0.045711;0.045711;0.045383;0.045383;0.045383;3293;3883;7176;3588.0;True/True;True/True
land;0.055254;0.055254;0.055254;0.038776;0.038776;0.038776;0.037648;0.037648;0.037648;1953;1438;3391;1695.5;False/False;False/False
lane;0.065777;0.065777;0.065777;0.052425;0.052425;0.052425;0.058423;0.058423;0.058423;177;213;390;195.0;False/False;False/False
lass;0.095799;0.095799;0.095799;0.074102;0.074102;0.074102;0.081518;0.081518;0.081518;60;90;150;75.0;True/True;True/True
multitude;0.095898;0.095898;0.095898;0.08164;0.08164;0.08164;0.0813;0.0813;0.0813;334;103;437;218.5;False/True;False/True
ounce;0.086448;0.086448;0.086448;0.07297000000000001;0.07297000000000001;0.07297000000000001;0.077019;0.077019;0.077019;113;78;191;95.5;True/True;True/True
part;0.114598;0.114598;0.114598;0.079233;0.079233;0.079233;0.08579400000000001;0.08579400000000001;0.08579400000000001;4066;3034;7100;3550.0;True/True;True/True
pin;0.08244800000000001;0.08244800000000001;0.08244800000000001;0.054678;0.054678;0.054678;0.054678;0.054678;0.054678;74;128;202;101.0;False/False;False/False
plane;0.144595;0.144595;0.144595;0.119407;0.119407;0.119407;0.124419;0.124419;0.124419;234;584;818;409.0;True/True;True/True
player;0.055090999999999994;0.055090999999999994;0.055090999999999994;0.043475;0.043475;0.043475;0.044269;0.044269;0.044269;71;418;489;244.5;False/False;False/False
prop;0.107678;0.107678;0.107678;0.105674;0.105674;0.105674;0.10320599999999999;0.10320599999999999;0.10320599999999999;76;67;143;71.5;False/True;False/True
quilt;0.05166900000000001;0.05166900000000001;0.05166900000000001;0.041425;0.041425;0.041425;0.043144;0.043144;0.043144;65;145;210;105.0;True/True;True/True
rag;0.059177999999999994;0.059177999999999994;0.059177999999999994;0.045121;0.045121;0.045121;0.05207899999999999;0.05207899999999999;0.05207899999999999;37;107;144;72.0;True/True;True/True
record;0.233699;0.233699;0.233699;0.199802;0.199802;0.199802;0.204315;0.204315;0.204315;325;870;1195;597.5;True/True;True/True
relationship;0.050006999999999996;0.050006999999999996;0.050006999999999996;0.042675;0.042675;0.042675;0.048517000000000005;0.048517000000000005;0.048517000000000005;121;601;722;361.0;False/False;False/False
risk;0.079375;0.079375;0.079375;0.049111;0.049111;0.049111;0.053911;0.053911;0.053911;309;649;958;479.0;True/True;True/True
savage;0.054113999999999995;0.054113999999999995;0.054113999999999995;0.045793;0.045793;0.045793;0.048856000000000004;0.048856000000000004;0.048856000000000004;511;144;655;327.5;True/True;True/True
stab;0.06704;0.06704;0.06704;0.055434000000000004;0.055434000000000004;0.055434000000000004;0.057139999999999996;0.057139999999999996;0.057139999999999996;77;93;170;85.0;True/True;True/True
stroke;0.089253;0.089253;0.089253;0.061551999999999996;0.061551999999999996;0.061551999999999996;0.066138;0.066138;0.066138;151;181;332;166.0;True/False;True/False
thump;0.056463;0.056463;0.056463;0.049643;0.049643;0.049643;0.054342999999999995;0.054342999999999995;0.054342999999999995;62;99;161;80.5;True/True;True/True
tip;0.10888900000000001;0.10888900000000001;0.10888900000000001;0.08442000000000001;0.08442000000000001;0.08442000000000001;0.102552;0.102552;0.102552;63;266;329;164.5;False/True;False/True
tree;0.053592999999999995;0.053592999999999995;0.053592999999999995;0.033205;0.033205;0.033205;0.028318;0.028318;0.028318;1061;748;1809;904.5;False/False;False/False
twist;0.065474;0.065474;0.065474;0.056687;0.056687;0.056687;0.057122000000000006;0.057122000000000006;0.057122000000000006;115;194;309;154.5;True/True;True/True
word;0.045082;0.045082;0.045082;0.030585;0.030585;0.030585;0.032168;0.032168;0.032168;1872;1392;3264;1632.0;False/False;False/False
