word;AP cohasem_corpus1-cohasem_corpus2;AP All;AP Avg;K5 cohasem_corpus1-cohasem_corpus2;K5 All;K5 Avg;K7 cohasem_corpus1-cohasem_corpus2;K7 All;K7 Avg;FREQ cohasem_corpus1;FREQ cohasem_corpus2;FREQ All;FREQ Avg;MEANING GAIN/LOSS cohasem_corpus1-cohasem_corpus2;MEANING GAIN/LOSS All
address;0.281596;0.281596;0.281596;0.264858;0.264858;0.264858;0.259848;0.259848;0.259848;400;396;796;398.0;True/True;True/True
architecture;0.300808;0.300808;0.300808;0.285275;0.285275;0.285275;0.292152;0.292152;0.292152;156;153;309;154.5;True/True;True/True
atom;0.318811;0.318811;0.318811;0.309906;0.309906;0.309906;0.326173;0.326173;0.326173;12;51;63;31.5;True/True;True/True
bell;0.317629;0.317629;0.317629;0.284402;0.284402;0.284402;0.292538;0.292538;0.292538;316;333;649;324.5;True/True;True/True
brick;0.331539;0.331539;0.331539;0.30154899999999996;0.30154899999999996;0.30154899999999996;0.296433;0.296433;0.296433;138;177;315;157.5;True/True;True/True
card;0.267467;0.267467;0.267467;0.249111;0.249111;0.249111;0.261123;0.261123;0.261123;79;343;422;211.0;True/True;True/True
ceiling;0.345316;0.345316;0.345316;0.318367;0.318367;0.318367;0.328896;0.328896;0.328896;95;270;365;182.5;True/True;True/True
cent;0.391547;0.391547;0.391547;0.378556;0.378556;0.378556;0.382456;0.382456;0.382456;291;494;785;392.5;True/True;True/True
chemistry;0.267547;0.267547;0.267547;0.257786;0.257786;0.257786;0.262092;0.262092;0.262092;52;73;125;62.5;True/True;True/True
coach;0.323826;0.323826;0.323826;0.308726;0.308726;0.308726;0.313332;0.313332;0.313332;129;433;562;281.0;True/True;True/True
compact;0.339881;0.339881;0.339881;0.306766;0.306766;0.306766;0.319913;0.319913;0.319913;193;66;259;129.5;True/True;True/True
contact;0.263341;0.263341;0.263341;0.240627;0.240627;0.240627;0.24581599999999998;0.24581599999999998;0.24581599999999998;162;375;537;268.5;True/True;True/True
context;0.0;0.0;0.0;0.309205;0.309205;0.309205;0.31867199999999996;0.31867199999999996;0.31867199999999996;5;159;164;82.0;True/False;True/False
cost;0.281064;0.281064;0.281064;0.255312;0.255312;0.255312;0.276165;0.276165;0.276165;394;953;1347;673.5;True/True;True/True
credit;0.31599299999999997;0.31599299999999997;0.31599299999999997;0.29887199999999997;0.29887199999999997;0.29887199999999997;0.301583;0.301583;0.301583;501;446;947;473.5;True/True;True/True
crisis;0.340848;0.340848;0.340848;0.321496;0.321496;0.321496;0.327146;0.327146;0.327146;134;389;523;261.5;True/True;True/True
curious;0.305906;0.305906;0.305906;0.300583;0.300583;0.300583;0.305523;0.305523;0.305523;401;244;645;322.5;True/True;True/True
curtain;0.306076;0.306076;0.306076;0.309295;0.309295;0.309295;0.305148;0.305148;0.305148;121;122;243;121.5;True/True;True/True
dare;0.42784799999999995;0.42784799999999995;0.42784799999999995;0.399801;0.399801;0.399801;0.405746;0.405746;0.405746;527;147;674;337.0;True/True;True/True
dealers;0.31109899999999996;0.31109899999999996;0.31109899999999996;0.318357;0.318357;0.318357;0.320169;0.320169;0.320169;26;132;158;79.0;True/True;True/True
deliver;0.344161;0.344161;0.344161;0.333958;0.333958;0.333958;0.337446;0.337446;0.337446;129;164;293;146.5;True/True;True/True
delivery;0.33417800000000003;0.33417800000000003;0.33417800000000003;0.300119;0.300119;0.300119;0.317159;0.317159;0.317159;55;163;218;109.0;True/True;True/True
dining;0.318986;0.318986;0.318986;0.301647;0.301647;0.301647;0.304247;0.304247;0.304247;25;227;252;126.0;True/True;True/True
disease;0.297111;0.297111;0.297111;0.277156;0.277156;0.277156;0.277156;0.277156;0.277156;359;530;889;444.5;True/True;True/True
disk;0.319524;0.319524;0.319524;0.293217;0.293217;0.293217;0.31235;0.31235;0.31235;18;58;76;38.0;True/True;True/True
disorder;0.333462;0.333462;0.333462;0.315884;0.315884;0.315884;0.32305500000000004;0.32305500000000004;0.32305500000000004;93;93;186;93.0;True/True;True/True
domain;0.294097;0.294097;0.294097;0.274384;0.274384;0.274384;0.283769;0.283769;0.283769;99;77;176;88.0;True/True;True/True
doubt;0.376303;0.376303;0.376303;0.35817;0.35817;0.35817;0.36227600000000004;0.36227600000000004;0.36227600000000004;1445;573;2018;1009.0;True/True;True/True
drug;0.308257;0.308257;0.308257;0.302095;0.302095;0.302095;0.29585;0.29585;0.29585;17;534;551;275.5;True/True;True/True
energy;0.311702;0.311702;0.311702;0.261613;0.261613;0.261613;0.28709;0.28709;0.28709;402;805;1207;603.5;True/True;True/True
excuse;0.363926;0.363926;0.363926;0.356139;0.356139;0.356139;0.360702;0.360702;0.360702;246;198;444;222.0;True/True;True/True
