word;AP cohasem_corpus1-cohasem_corpus2;AP All;AP Avg;K5 cohasem_corpus1-cohasem_corpus2;K5 All;K5 Avg;K7 cohasem_corpus1-cohasem_corpus2;K7 All;K7 Avg;FREQ cohasem_corpus1;FREQ cohasem_corpus2;FREQ All;FREQ Avg;MEANING GAIN/LOSS cohasem_corpus1-cohasem_corpus2;MEANING GAIN/LOSS All
attack;0.296033;0.296033;0.296033;0.275555;0.275555;0.275555;0.28265;0.28265;0.28265;445;731;1176;588.0;True/True;True/True
bag;0.348543;0.348543;0.348543;0.331402;0.331402;0.331402;0.332434;0.332434;0.332434;163;652;815;407.5;True/True;True/True
ball;0.31960500000000003;0.31960500000000003;0.31960500000000003;0.303794;0.303794;0.303794;0.303794;0.303794;0.303794;328;727;1055;527.5;True/True;True/True
bit;0.377565;0.377565;0.377565;0.355831;0.355831;0.355831;0.364715;0.364715;0.364715;297;1008;1305;652.5;True/True;True/True
chairman;0.327745;0.327745;0.327745;0.306531;0.306531;0.306531;0.310857;0.310857;0.310857;149;661;810;405.0;True/True;True/True
circle;0.323112;0.323112;0.323112;0.2943;0.2943;0.2943;0.299892;0.299892;0.299892;406;413;819;409.5;True/True;True/True
contemplation;0.35676199999999997;0.35676199999999997;0.35676199999999997;0.350053;0.350053;0.350053;0.35157;0.35157;0.35157;218;105;323;161.5;True/True;True/True
donkey;0.318658;0.318658;0.318658;0.318701;0.318701;0.318701;0.319771;0.319771;0.319771;82;114;196;98.0;True/True;True/True
edge;0.320259;0.320259;0.320259;0.301198;0.301198;0.301198;0.305697;0.305697;0.305697;340;880;1220;610.0;True/True;True/True
face;0.382205;0.382205;0.382205;0.355932;0.355932;0.355932;0.36073099999999997;0.36073099999999997;0.36073099999999997;3097;3925;7022;3511.0;True/True;True/True
fiction;0.300566;0.300566;0.300566;0.288972;0.288972;0.288972;0.295058;0.295058;0.295058;165;314;479;239.5;True/True;True/True
gas;0.287379;0.287379;0.287379;0.265832;0.265832;0.265832;0.271158;0.271158;0.271158;127;653;780;390.0;True/True;True/True
graft;0.335229;0.335229;0.335229;0.325753;0.325753;0.325753;0.330341;0.330341;0.330341;89;86;175;87.5;True/True;True/True
head;0.38907800000000003;0.38907800000000003;0.38907800000000003;0.350957;0.350957;0.350957;0.372031;0.372031;0.372031;3293;3883;7176;3588.0;True/True;True/True
land;0.32814;0.32814;0.32814;0.299356;0.299356;0.299356;0.305756;0.305756;0.305756;1953;1438;3391;1695.5;True/True;True/True
lane;0.35648;0.35648;0.35648;0.319961;0.319961;0.319961;0.332067;0.332067;0.332067;177;213;390;195.0;True/True;True/True
