word;AP cohasem_corpus1-cohasem_corpus2;AP All;AP Avg;K5 cohasem_corpus1-cohasem_corpus2;K5 All;K5 Avg;K7 cohasem_corpus1-cohasem_corpus2;K7 All;K7 Avg;FREQ cohasem_corpus1;FREQ cohasem_corpus2;FREQ All;FREQ Avg;MEANING GAIN/LOSS cohasem_corpus1-cohasem_corpus2;MEANING GAIN/LOSS All
spine;0.469622;0.469622;0.469622;0.424876;0.424876;0.424876;0.402129;0.402129;0.402129;24;106;130;65.0;True/True;True/True
multitude;0.428842;0.428842;0.428842;0.418944;0.418944;0.418944;0.423118;0.423118;0.423118;334;103;437;218.5;True/True;True/True
lips;0.421586;0.421586;0.421586;0.414853;0.414853;0.414853;0.414579;0.414579;0.414579;1017;586;1603;801.5;True/True;True/True
maybe;0.40015;0.40015;0.40015;0.404113;0.404113;0.404113;0.409012;0.409012;0.409012;55;1740;1795;897.5;True/True;True/True
twist;0.407946;0.407946;0.407946;0.40392;0.40392;0.40392;0.407499;0.407499;0.407499;115;194;309;154.5;True/True;True/True
dare;0.427848;0.427848;0.427848;0.399801;0.399801;0.399801;0.405746;0.405746;0.405746;527;147;674;337.0;True/True;True/True
mood;0.398486;0.398486;0.398486;0.396605;0.396605;0.396605;0.399356;0.399356;0.399356;185;278;463;231.5;True/True;True/True
relationship;0.409383;0.409383;0.409383;0.392872;0.392872;0.392872;0.396854;0.396854;0.396854;121;601;722;361.0;True/True;True/True
cent;0.391547;0.391547;0.391547;0.378556;0.378556;0.378556;0.382456;0.382456;0.382456;291;494;785;392.5;True/True;True/True
upwards;0.392983;0.392983;0.392983;0.375554;0.375554;0.375554;0.378188;0.378188;0.378188;140;34;174;87.0;True/True;True/True
thump;0.387138;0.387138;0.387138;0.374568;0.374568;0.374568;0.373902;0.373902;0.373902;62;99;161;80.5;True/True;True/True
stab;0.387271;0.387271;0.387271;0.372775;0.372775;0.372775;0.378867;0.378867;0.378867;77;93;170;85.0;True/True;True/True
lass;0.376819;0.376819;0.376819;0.369322;0.369322;0.369322;0.375652;0.375652;0.375652;60;90;150;75.0;True/True;True/True
orange;0.407793;0.407793;0.407793;0.367434;0.367434;0.367434;0.373543;0.373543;0.373543;125;356;481;240.5;True/True;True/True
ounce;0.370665;0.370665;0.370665;0.36706;0.36706;0.36706;0.3739;0.3739;0.3739;113;78;191;95.5;True/True;True/True
users;0.0;0.0;0.0;0.364492;0.364492;0.364492;0.0;0.0;0.0;1;128;129;64.5;True/False;True/False
participate;0.369916;0.369916;0.369916;0.360057;0.360057;0.360057;0.363857;0.363857;0.363857;35;144;179;89.5;True/True;True/True
doubt;0.376303;0.376303;0.376303;0.35817;0.35817;0.35817;0.362276;0.362276;0.362276;1445;573;2018;1009.0;True/True;True/True
excuse;0.363926;0.363926;0.363926;0.356139;0.356139;0.356139;0.360702;0.360702;0.360702;246;198;444;222.0;True/True;True/True
quilt;0.360473;0.360473;0.360473;0.356053;0.356053;0.356053;0.359818;0.359818;0.359818;65;145;210;105.0;True/True;True/True
face;0.382205;0.382205;0.382205;0.355932;0.355932;0.355932;0.360731;0.360731;0.360731;3097;3925;7022;3511.0;True/True;True/True
bit;0.377565;0.377565;0.377565;0.355831;0.355831;0.355831;0.364715;0.364715;0.364715;297;1008;1305;652.5;True/True;True/True
head;0.389078;0.389078;0.389078;0.350957;0.350957;0.350957;0.372031;0.372031;0.372031;3293;3883;7176;3588.0;True/True;True/True
contemplation;0.356762;0.356762;0.356762;0.350053;0.350053;0.350053;0.35157;0.35157;0.35157;218;105;323;161.5;True/True;True/True
maid;0.341214;0.341214;0.341214;0.345689;0.345689;0.345689;0.341888;0.341888;0.341888;147;111;258;129.0;True/True;True/True
player;0.367206;0.367206;0.367206;0.338799;0.338799;0.338799;0.360338;0.360338;0.360338;71;418;489;244.5;True/True;True/True
rag;0.330629;0.330629;0.330629;0.334646;0.334646;0.334646;0.337131;0.337131;0.337131;37;107;144;72.0;True/True;True/True
record;0.358011;0.358011;0.358011;0.333998;0.333998;0.333998;0.347575;0.347575;0.347575;325;870;1195;597.5;True/True;True/True
